AF,Asia
AX,Europe
AL,Europe
DZ,Africa
AS,Oceania
AD,Europe
AO,Africa
AI,Americas
AG,Americas
AR,Americas
AM,Asia
AW,Americas
AU,Oceania
AT,Europe
AZ,Asia
BS,Americas
BH,Asia
BD,Asia
BB,Americas
BY,Europe
BE,Europe
BZ,Americas
BJ,Africa
BM,Americas
BT,Asia
BO,Americas
BQ,Americas
BA,Europe
BW,Africa
BR,Americas
BN,Asia
BG,Europe
BF,Africa
BI,Africa
KH,Asia
CM,Africa
CA,Americas
CV,Africa
KY,Americas
CF,Africa
TD,Africa
CL,Americas
CN,Asia
CO,Americas
KM,Africa
CG,Africa
CD,Africa
CK,Oceania
CR,Americas
CI,Africa
HR,Europe
CU,Americas
CW,Americas
CY,Asia
CZ,Europe
DK,Europe
DJ,Africa
DM,Americas
DO,Americas
EC,Americas
EG,Africa
SV,Americas
GQ,Africa
ER,Africa
EE,Europe
ET,Africa
FK,Americas
FO,Europe
FJ,Oceania
FI,Europe
FR,Europe
GF,Americas
PF,Oceania
GA,Africa
GM,Africa
GE,Asia
DE,Europe
GH,Africa
GI,Europe
GR,Europe
GL,Americas
GD,Americas
GP,Americas
GU,Oceania
GT,Americas
GG,Europe
GN,Africa
GW,Africa
GY,Americas
HT,Americas
VA,Europe
HN,Americas
HK,Asia
HU,Europe
IS,Europe
IN,Asia
ID,Asia
IR,Asia
IQ,Asia
IE,Europe
IM,Europe
IL,Asia
IT,Europe
JM,Americas
JP,Asia
JE,Europe
JO,Asia
KZ,Asia
KE,Africa
KI,Oceania
KP,Asia
KR,Asia
KW,Asia
KG,Asia
LA,Asia
LV,Europe
LB,Asia
LS,Africa
LR,Africa
LY,Africa
LI,Europe
LT,Europe
LU,Europe
MO,Asia
MK,Europe
MG,Africa
MW,Africa
MY,Asia
MV,Asia
ML,Africa
MT,Europe
MH,Oceania
MQ,Americas
MR,Africa
MU,Africa
YT,Africa
MX,Americas
FM,Oceania
MD,Europe
MC,Europe
MN,Asia
ME,Europe
MS,Americas
MA,Africa
MZ,Africa
MM,Asia
NA,Africa
NR,Oceania
NP,Asia
NL,Europe
NC,Oceania
NZ,Oceania
NI,Americas
NE,Africa
NG,Africa
NU,Oceania
NF,Oceania
MP,Oceania
NO,Europe
OM,Asia
PK,Asia
PW,Oceania
PS,Asia
PA,Americas
PG,Oceania
PY,Americas
PE,Americas
PH,Asia
PN,Oceania
PL,Europe
PT,Europe
PR,Americas
QA,Asia
RE,Africa
RO,Europe
RU,Europe
RW,Africa
BL,Americas
SH,Africa
KN,Americas
LC,Americas
MF,Americas
PM,Americas
VC,Americas
WS,Oceania
SM,Europe
ST,Africa
SA,Asia
SN,Africa
RS,Europe
SC,Africa
SL,Africa
SG,Asia
SX,Americas
SK,Europe
SI,Europe
SB,Oceania
SO,Africa
ZA,Africa
SS,Africa
ES,Europe
LK,Asia
SD,Africa
SR,Americas
SJ,Europe
SZ,Africa
SE,Europe
CH,Europe
SY,Asia
TW,Asia
TJ,Asia
TZ,Africa
TH,Asia
TL,Asia
TG,Africa
TK,Oceania
TO,Oceania
TT,Americas
TN,Africa
TR,Asia
TM,Asia
TC,Americas
TV,Oceania
UG,Africa
UA,Europe
AE,Asia
GB,Europe
US,Americas
UY,Americas
UZ,Asia
VU,Oceania
VE,Americas
VN,Asia
VG,Americas
VI,Americas
WF,Oceania
EH,Africa
YE,Asia
ZM,Africa
ZW,Africa
